epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,63553.8,1.11727,1.4561,1.26797,0.66398,0.73339,0.72202,0.53843,0.78826,0.83949,1.02433,0.00703,0.00703,0.00703
62,64585.5,1.11317,1.45389,1.26608,0.66831,0.73306,0.72392,0.5397,0.78917,0.83754,1.02392,0.0069805,0.0069805,0.0069805
63,65614.3,1.11804,1.45311,1.2641,0.67003,0.73481,0.72513,0.54004,0.7877,0.83567,1.02247,0.006931,0.006931,0.006931
64,66646.6,1.11274,1.44732,1.26848,0.66913,0.73528,0.72721,0.5419,0.78569,0.83334,1.02155,0.0068815,0.0068815,0.0068815
65,67677.3,1.1123,1.44636,1.26308,0.67647,0.73621,0.72768,0.54292,0.78263,0.83045,1.01962,0.006832,0.006832,0.006832
66,68710.7,1.11951,1.45157,1.26852,0.67424,0.7359,0.72919,0.54391,0.78078,0.82785,1.0189,0.0067825,0.0067825,0.0067825
67,69740.5,1.10821,1.43988,1.26306,0.67776,0.73441,0.72987,0.54498,0.77798,0.82638,1.01758,0.006733,0.006733,0.006733
68,70773.6,1.1083,1.45381,1.26596,0.67705,0.73399,0.72997,0.5455,0.77656,0.82508,1.01675,0.0066835,0.0066835,0.0066835
69,71804.2,1.10791,1.4359,1.26162,0.67119,0.73637,0.73195,0.54794,0.77448,0.82044,1.01571,0.006634,0.006634,0.006634
70,72833.5,1.10821,1.43134,1.26233,0.67427,0.73948,0.73397,0.54925,0.7716,0.81935,1.01366,0.0065845,0.0065845,0.0065845
71,73867.8,1.10212,1.42498,1.26034,0.67436,0.73637,0.73423,0.55046,0.77076,0.81543,1.01281,0.006535,0.006535,0.006535
72,74900.6,1.10775,1.43689,1.25784,0.67743,0.73824,0.73679,0.55196,0.77085,0.81405,1.01154,0.0064855,0.0064855,0.0064855
73,75929.2,1.10316,1.42911,1.25416,0.67841,0.74023,0.73695,0.55127,0.77154,0.81343,1.01124,0.006436,0.006436,0.006436
74,76963.6,1.10401,1.42869,1.25637,0.68239,0.7375,0.73728,0.55181,0.76915,0.81151,1.01,0.0063865,0.0063865,0.0063865
75,77995.6,1.09191,1.4168,1.25594,0.68468,0.73792,0.73962,0.5546,0.7687,0.80845,1.00971,0.006337,0.006337,0.006337
76,79028.1,1.09333,1.41635,1.25194,0.6819,0.7425,0.73967,0.55553,0.7679,0.80586,1.00974,0.0062875,0.0062875,0.0062875
77,80053.3,1.09543,1.42214,1.25377,0.68325,0.7412,0.73694,0.55441,0.76809,0.8035,1.00943,0.006238,0.006238,0.006238
78,81083.8,1.09128,1.42799,1.25464,0.67379,0.74761,0.7357,0.5528,0.76766,0.80586,1.01022,0.0061885,0.0061885,0.0061885
79,82113.8,1.09145,1.41379,1.25162,0.67378,0.75444,0.7371,0.55475,0.76497,0.80486,1.00799,0.006139,0.006139,0.006139
80,83152,1.09059,1.41268,1.2513,0.67801,0.75086,0.73763,0.55562,0.76441,0.80244,1.00741,0.0060895,0.0060895,0.0060895
81,84185.3,1.08857,1.41769,1.25506,0.67975,0.75491,0.73911,0.55735,0.76356,0.7994,1.00729,0.00604,0.00604,0.00604
82,85216,1.08186,1.41177,1.25328,0.67754,0.75927,0.74027,0.55855,0.76331,0.7953,1.00754,0.0059905,0.0059905,0.0059905
83,86247.6,1.08656,1.4045,1.24915,0.68274,0.75569,0.74237,0.5593,0.76311,0.7926,1.00834,0.005941,0.005941,0.005941
84,87282.2,1.09462,1.41424,1.24979,0.68492,0.75327,0.74453,0.56046,0.76176,0.79019,1.00682,0.0058915,0.0058915,0.0058915
85,88311.2,1.08707,1.41465,1.25154,0.6856,0.75294,0.74666,0.56159,0.75932,0.78667,1.00526,0.005842,0.005842,0.005842
86,89343.8,1.08381,1.39918,1.24873,0.6825,0.75797,0.74782,0.56179,0.75853,0.78665,1.00461,0.0057925,0.0057925,0.0057925
87,90378,1.0853,1.40267,1.24811,0.68024,0.75725,0.74781,0.56306,0.75648,0.78467,1.00282,0.005743,0.005743,0.005743
88,91407.6,1.07218,1.38572,1.24314,0.68645,0.74943,0.74806,0.56435,0.75543,0.78064,1.00245,0.0056935,0.0056935,0.0056935
89,92435.6,1.07608,1.39786,1.24932,0.69204,0.74545,0.74963,0.56729,0.75368,0.77753,1.00204,0.005644,0.005644,0.005644
90,93470.1,1.07309,1.38698,1.24333,0.69734,0.74241,0.75023,0.56712,0.75383,0.77615,1.00159,0.0055945,0.0055945,0.0055945
91,94503,1.07023,1.39437,1.2404,0.6926,0.74852,0.75194,0.56851,0.7523,0.77276,1.00041,0.005545,0.005545,0.005545
92,95531.6,1.07451,1.39176,1.24221,0.69602,0.74883,0.75401,0.57018,0.74974,0.76803,0.99826,0.0054955,0.0054955,0.0054955
93,96565.9,1.06778,1.3829,1.24098,0.70003,0.74795,0.75515,0.57209,0.74775,0.76657,0.99662,0.005446,0.005446,0.005446
94,97595.3,1.0675,1.38426,1.23528,0.70192,0.74591,0.75569,0.57243,0.74639,0.76407,0.9955,0.0053965,0.0053965,0.0053965
95,98629.7,1.06444,1.37004,1.23295,0.69805,0.74696,0.75656,0.57234,0.74635,0.76261,0.99528,0.005347,0.005347,0.005347
96,99660.9,1.06247,1.37233,1.23213,0.69019,0.75974,0.75911,0.57458,0.7441,0.76025,0.99329,0.0052975,0.0052975,0.0052975
97,100691,1.06199,1.37249,1.23141,0.69198,0.75747,0.75813,0.5758,0.74307,0.75769,0.9931,0.005248,0.005248,0.005248
98,101722,1.05721,1.37129,1.23179,0.6947,0.75865,0.75909,0.57537,0.74088,0.75547,0.99152,0.0051985,0.0051985,0.0051985
99,102753,1.0589,1.3628,1.23288,0.69326,0.76347,0.76167,0.57725,0.74087,0.75336,0.99119,0.005149,0.005149,0.005149
100,103782,1.05806,1.36242,1.23101,0.69522,0.76519,0.76327,0.57775,0.73927,0.75082,0.99084,0.0050995,0.0050995,0.0050995
101,104818,1.05331,1.36998,1.2313,0.69907,0.75865,0.76291,0.57769,0.73894,0.74946,0.99052,0.00505,0.00505,0.00505
102,105846,1.05346,1.35798,1.22827,0.70302,0.7574,0.76457,0.57993,0.73694,0.74652,0.98902,0.0050005,0.0050005,0.0050005
103,106875,1.04576,1.35224,1.22846,0.69752,0.7627,0.76575,0.58157,0.73531,0.74332,0.98882,0.004951,0.004951,0.004951
104,107908,1.04272,1.34544,1.21758,0.69681,0.76706,0.76661,0.58228,0.73451,0.74124,0.98776,0.0049015,0.0049015,0.0049015
105,108939,1.04784,1.35578,1.22357,0.70015,0.76535,0.76805,0.58518,0.73138,0.73819,0.98621,0.004852,0.004852,0.004852
106,109970,1.04783,1.35296,1.22339,0.70259,0.76348,0.76969,0.5868,0.73041,0.73599,0.98584,0.0048025,0.0048025,0.0048025
107,111002,1.04486,1.34857,1.22086,0.70308,0.76192,0.77031,0.5886,0.7278,0.73144,0.98427,0.004753,0.004753,0.004753
108,112031,1.03363,1.33787,1.21972,0.70169,0.768,0.77268,0.58977,0.72728,0.72682,0.9839,0.0047035,0.0047035,0.0047035
109,113061,1.0378,1.34981,1.22001,0.70659,0.76815,0.77489,0.59095,0.72511,0.72271,0.98265,0.004654,0.004654,0.004654
110,114093,1.03639,1.33992,1.22275,0.70729,0.76504,0.77558,0.59158,0.72324,0.72159,0.98217,0.0046045,0.0046045,0.0046045
111,115122,1.03211,1.32986,1.21335,0.70685,0.77345,0.77751,0.59218,0.72323,0.72105,0.98136,0.004555,0.004555,0.004555
112,116156,1.02437,1.32191,1.20964,0.70927,0.77279,0.77787,0.59318,0.72219,0.71741,0.98037,0.0045055,0.0045055,0.0045055
113,117190,1.03078,1.32528,1.21253,0.71051,0.76878,0.77829,0.59446,0.7232,0.71371,0.97988,0.004456,0.004456,0.004456
114,118222,1.03087,1.32499,1.21326,0.71236,0.76893,0.77846,0.59434,0.72289,0.71292,0.98032,0.0044065,0.0044065,0.0044065
115,119252,1.02778,1.32194,1.21047,0.71219,0.77187,0.78045,0.59654,0.72095,0.70963,0.9793,0.004357,0.004357,0.004357
116,120279,1.02457,1.31944,1.21189,0.71357,0.77423,0.7814,0.59738,0.71961,0.70675,0.9782,0.0043075,0.0043075,0.0043075
117,121311,1.02691,1.32696,1.21491,0.71268,0.77111,0.78261,0.59792,0.71931,0.705,0.97835,0.004258,0.004258,0.004258
118,122341,1.02083,1.31628,1.20781,0.7174,0.76753,0.78292,0.59877,0.72007,0.70476,0.97874,0.0042085,0.0042085,0.0042085
119,123373,1.02077,1.31515,1.20771,0.71711,0.76924,0.78475,0.60061,0.71754,0.70178,0.977,0.004159,0.004159,0.004159
