epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,450.89,1.73151,0.84279,1.00161,0.64459,0.39576,0.43442,0.19719,1.86537,1.17978,1.12271,0.0004358,0.0004358,0.0004358
81,456.074,1.57465,0.78731,0.9892,0.67346,0.39208,0.43441,0.1975,1.85003,1.16315,1.11826,0.000416,0.000416,0.000416
82,461.488,1.65113,0.79377,0.97515,0.66861,0.38317,0.42635,0.19346,1.86855,1.18465,1.112,0.0003962,0.0003962,0.0003962
83,466.568,1.62664,0.80159,0.98132,0.67849,0.38877,0.43358,0.19867,1.85178,1.18973,1.11494,0.0003764,0.0003764,0.0003764
84,471.982,1.63028,0.83689,0.98094,0.67802,0.38857,0.42979,0.19963,1.8386,1.1846,1.11735,0.0003566,0.0003566,0.0003566
85,478.629,1.60771,0.76946,0.95987,0.68169,0.39392,0.43546,0.20018,1.83567,1.15999,1.10727,0.0003368,0.0003368,0.0003368
86,484.468,1.5102,0.8407,0.94537,0.66301,0.39269,0.42883,0.19497,1.83964,1.1373,1.11102,0.000317,0.000317,0.000317
87,489.646,1.58333,0.85097,0.99251,0.66831,0.39423,0.43551,0.19921,1.84115,1.15604,1.11173,0.0002972,0.0002972,0.0002972
88,495.07,1.6056,0.79856,0.97486,0.67553,0.39146,0.43593,0.19778,1.85168,1.1284,1.1181,0.0002774,0.0002774,0.0002774
89,500.87,1.61657,0.79648,0.98057,0.66225,0.40037,0.44351,0.20244,1.83541,1.12063,1.11451,0.0002576,0.0002576,0.0002576
90,506.793,1.62299,0.95263,0.95583,0.66347,0.39163,0.43466,0.20039,1.84533,1.13663,1.11766,0.0002378,0.0002378,0.0002378
91,515.791,1.56369,0.78817,0.99062,0.67731,0.38409,0.42896,0.19482,1.86786,1.16204,1.12564,0.000218,0.000218,0.000218
92,521.387,1.55078,0.78303,0.96975,0.66101,0.40098,0.42856,0.19183,1.87268,1.15359,1.12972,0.0001982,0.0001982,0.0001982
93,527.042,1.53709,0.77161,0.97055,0.67315,0.39331,0.4283,0.19458,1.86072,1.13609,1.13001,0.0001784,0.0001784,0.0001784
94,532.675,1.60762,0.78533,0.97268,0.66862,0.39392,0.43093,0.197,1.86341,1.15596,1.13382,0.0001586,0.0001586,0.0001586
95,538.144,1.5698,0.78872,0.95927,0.67318,0.39269,0.43039,0.19813,1.86113,1.18486,1.13015,0.0001388,0.0001388,0.0001388
96,543.432,1.55613,0.79651,0.9748,0.67152,0.393,0.4335,0.20097,1.85475,1.19806,1.13581,0.000119,0.000119,0.000119
97,548.635,1.5529,0.79268,0.98688,0.67168,0.39668,0.43492,0.20179,1.84642,1.18658,1.12784,9.92e-05,9.92e-05,9.92e-05
98,554.485,1.50254,0.74529,0.98593,0.66358,0.39791,0.43534,0.20132,1.84733,1.1854,1.13074,7.94e-05,7.94e-05,7.94e-05
99,559.453,1.50397,0.73821,0.96616,0.66513,0.39639,0.43245,0.19941,1.84233,1.17935,1.12565,5.96e-05,5.96e-05,5.96e-05
100,564.663,1.57776,0.81558,1.00217,0.6696,0.39239,0.43346,0.19971,1.83774,1.19807,1.12237,3.98e-05,3.98e-05,3.98e-05
